"rgn_id","year","percent"
1,1997,9.1674434
2,1997,9.1674434
6,1997,9.1674434
1,2004,8.55244079000001
2,2004,8.55244079000001
6,2004,8.55244079000001
1,2005,7.73674835
2,2005,7.73674835
6,2005,7.73674835
1,2006,7.69212801
2,2006,7.69212801
6,2006,7.69212801
1,2007,6.06554676
2,2007,6.06554676
6,2007,6.06554676
1,2008,7.30922765
2,2008,7.30922765
6,2008,7.30922765
1,2009,6.47131026
2,2009,6.47131026
6,2009,6.47131026
1,1998,10.3424357161
2,1998,10.3424357161
6,1998,10.3424357161
1,2010,7.14046649869999
2,2010,7.14046649869999
6,2010,7.14046649869999
